topic,word_count,study_times,total_time_mins,gap_days,confidence,quiz_score,days_since_last,burn_rate_days
Financial Accounting,738,11,95,1,8,94,9,15
English,1518,3,328,7,9,31,20,9
Auditing,2967,9,341,14,8,39,18,1
English,490,15,213,5,2,55,30,1
English,2304,15,59,10,1,50,6,1
Software Engineering,1317,11,276,2,4,47,12,8
Auditing,4122,7,347,10,8,59,28,2
Cyber Security,3893,7,194,5,2,97,8,8
Computer Networks,4806,4,178,11,4,96,1,9
Biology,2619,12,326,11,5,59,21,1
Operating Systems,2364,8,190,5,4,46,1,11
Compiler Design,3652,11,152,13,2,67,20,1
Physiology,711,14,378,5,9,86,22,8
Algorithms,4760,9,247,13,5,48,6,5
Software Engineering,1674,11,463,2,6,40,1,15
DBMS,4834,11,55,1,9,88,27,10
History,2732,13,69,6,3,30,4,7
English,546,1,443,4,3,60,0,20
Physics,4097,5,361,10,5,33,20,3
Physiology,4848,6,470,3,6,77,7,16
Microbiology,1457,3,354,4,1,50,10,8
Mathematics,2861,8,119,13,2,53,21,1
Pathology,3069,1,35,12,7,84,9,6
Geography,691,13,94,7,6,31,27,1
Algorithms,2588,12,344,4,7,78,0,16
Machine Learning,888,15,338,7,8,84,26,4
Machine Learning,2608,3,237,2,6,57,20,10
Hindi,3138,11,318,14,1,82,3,1
Operating Systems,934,14,305,5,2,69,13,4
Mathematics,4051,3,245,7,3,34,4,9
Anatomy,3066,6,176,10,1,96,18,1
Physiology,3106,6,383,12,4,98,15,3
English,3841,11,201,12,5,86,25,1
Corporate Finance,1556,9,197,2,8,68,24,8
Social Studies,4511,13,92,14,5,74,0,6
Financial Accounting,1200,4,451,7,1,85,4,9
Algorithms,4641,5,173,14,5,51,0,7
Data Structures,1507,9,100,8,5,44,24,1
Pathology,2060,12,289,9,6,85,5,9
Compiler Design,3830,15,396,6,7,52,9,11
DBMS,4518,12,249,1,10,77,9,19
Software Engineering,4923,11,206,6,5,37,22,3
Artificial Intelligence,4296,4,164,9,3,50,7,6
Machine Learning,2990,3,271,1,9,90,19,16
Pathology,1248,15,289,12,7,70,6,6
Management Accounting,3859,2,81,12,2,84,19,1
Operating Systems,3805,7,278,14,2,68,22,1
Economics,3586,9,450,8,3,41,12,5
Geography,1156,1,335,6,7,85,6,19
Hindi,1697,12,433,14,4,65,23,1
Operating Systems,4334,14,311,1,6,87,28,7
Economics,4869,6,160,13,3,74,18,1
Chemistry,2735,6,248,8,3,49,6,6
Pathology,2194,9,90,4,6,56,30,2
Cost Accounting,612,2,41,7,1,82,1,6
Cyber Security,2008,7,315,2,2,96,21,5
Pharmacology,3669,6,272,8,6,85,14,8
Management Accounting,4425,11,106,11,9,55,10,8
Mathematics,4255,13,68,12,1,99,15,1
Cost Accounting,2913,12,455,7,3,91,7,8
Mathematics,1812,1,472,6,9,63,17,19
Physiology,512,6,182,3,10,95,24,10
Anatomy,1577,6,231,2,9,89,10,16
Management Accounting,2495,1,248,2,4,82,20,12
Financial Accounting,1181,10,252,14,8,40,1,7
Cost Accounting,1480,14,134,8,9,47,4,11
Financial Accounting,2400,7,121,5,4,52,10,7
Hindi,4968,5,223,10,3,38,16,2
Financial Accounting,1866,14,260,3,2,88,17,5
Corporate Finance,4776,12,469,12,5,50,13,3
Social Studies,4672,5,315,11,2,98,18,1
Financial Accounting,4422,10,302,1,1,86,5,12
Operating Systems,534,4,116,4,3,41,11,6
Microbiology,738,15,393,2,9,51,14,12
English,3128,11,271,2,10,52,29,9
Corporate Finance,4818,4,400,10,10,61,19,10
Social Studies,2753,10,227,9,6,49,30,1
Pharmacology,3761,14,39,11,8,82,15,5
English,504,15,343,10,5,75,20,1
Biology,1816,1,292,2,6,99,21,15
Physics,4585,7,79,14,3,61,24,1
Machine Learning,1203,6,101,13,10,83,10,7
Cyber Security,2152,15,350,7,5,33,18,3
DBMS,4587,2,78,5,2,42,10,6
Corporate Finance,4599,1,227,1,6,54,17,15
Data Structures,4211,12,125,4,8,78,17,10
Geography,477,7,266,3,10,37,30,6
Cost Accounting,2397,10,127,7,3,92,3,8
Mathematics,2132,7,35,8,8,76,23,3
Geography,4706,7,242,10,7,46,3,11
Operating Systems,1209,5,430,13,6,87,14,4
Geography,4737,6,444,9,4,58,21,3
Geography,2222,15,226,2,9,85,19,12
Anatomy,1655,6,109,13,8,95,17,3
Cost Accounting,1471,11,108,5,7,99,1,14
Data Structures,798,1,210,13,2,67,5,5
DBMS,476,11,50,11,4,88,23,1
Physiology,2862,1,182,13,9,57,22,5
Operating Systems,4089,1,463,11,6,32,18,12
DBMS,499,3,265,4,2,41,2,10
Pathology,4841,4,166,12,4,54,22,1
Operating Systems,3822,7,65,9,10,45,11,10
Machine Learning,1264,1,401,8,4,32,2,16
Chemistry,3713,15,298,6,2,70,19,2
Computer Networks,1131,15,206,6,9,48,17,8
Pathology,1310,14,462,3,7,35,21,7
Data Structures,4751,5,236,8,1,34,13,2
Pathology,605,7,202,9,9,39,1,12
Compiler Design,476,6,200,7,1,93,15,1
Machine Learning,543,6,349,1,2,36,0,13
Software Engineering,2684,15,103,1,6,99,24,8
Mathematics,4934,2,168,6,10,90,29,9
Artificial Intelligence,3856,8,386,1,5,61,25,8
Microbiology,3611,11,415,2,4,75,11,11
Microbiology,2228,13,283,6,9,83,4,15
Biochemistry,1146,1,414,11,7,60,11,14
Compiler Design,882,12,376,7,6,85,24,3
English,4025,4,53,8,2,96,13,3
Compiler Design,2787,9,377,3,1,35,30,1
Mathematics,445,12,433,9,1,98,6,4
Software Engineering,1664,4,36,7,3,50,27,1
Corporate Finance,4175,14,339,14,2,89,29,1
Cyber Security,3322,6,159,12,2,99,3,4
Management Accounting,2451,4,274,8,1,40,14,2
Financial Accounting,2259,7,199,11,10,64,16,7
Management Accounting,4177,9,237,11,3,54,1,6
Hindi,3196,11,300,1,9,70,13,15
Machine Learning,2072,15,234,8,10,51,29,3
Operating Systems,1976,14,478,11,5,81,30,1
Auditing,1711,7,463,13,4,97,16,1
Physiology,4711,15,402,4,6,50,25,5
Economics,1883,6,279,10,6,72,14,5
Corporate Finance,1481,2,42,4,1,96,22,1
Corporate Finance,2383,10,190,8,2,53,24,1
Management Accounting,4349,11,356,10,7,69,3,11
Software Engineering,3682,15,466,7,1,93,15,3
Software Engineering,3903,13,295,5,10,51,25,8
Microbiology,4742,3,393,14,7,68,17,6
Artificial Intelligence,3664,11,381,3,2,31,4,10
Hindi,1071,7,54,14,7,62,22,1
Mathematics,2065,13,78,12,3,83,5,3
Science,3262,9,312,1,9,74,18,14
Biochemistry,2049,15,161,4,9,78,3,16
Science,4986,14,393,6,7,91,13,11
Pathology,1234,5,418,9,6,67,27,2
Mathematics,3703,10,271,3,9,52,0,19
DBMS,3339,7,148,4,5,60,22,5
Mathematics,4560,15,441,7,8,65,26,5
Microbiology,4437,13,43,2,7,49,5,15
Computer Networks,4073,13,459,14,5,36,3,5
Chemistry,942,13,226,2,6,55,9,11
Geography,4484,13,102,13,5,98,29,1
Geography,2831,1,74,3,3,72,13,8
Data Structures,1045,13,49,11,9,99,3,10
Physics,2595,2,204,11,8,78,21,5
Financial Accounting,1396,3,297,6,6,94,25,6
History,3770,1,353,11,10,70,9,18
English,3582,1,311,7,4,51,26,7
Operating Systems,3176,9,201,2,8,88,29,8
Physiology,4237,15,80,8,4,34,6,6
Microbiology,2218,4,78,9,8,97,18,6
Physiology,4882,15,339,6,10,69,17,11
Biochemistry,3767,13,406,1,1,93,18,7
Algorithms,4187,7,240,1,9,34,24,11
Data Structures,4786,13,61,8,1,34,15,1
Computer Networks,4796,7,399,2,3,73,6,14
Biochemistry,1347,6,108,9,8,57,3,10
Cyber Security,4136,4,254,8,5,82,6,11
Artificial Intelligence,4835,2,69,8,3,79,6,8
Algorithms,3497,9,97,11,10,61,5,11
Auditing,2072,11,317,11,5,95,10,5
Mathematics,3494,13,188,2,3,47,4,11
Cost Accounting,703,1,303,7,4,44,13,10
Management Accounting,851,10,130,9,5,76,5,7
Corporate Finance,2120,8,261,2,10,49,25,10
Mathematics,4840,10,478,14,1,62,29,1
Pharmacology,647,8,455,14,1,87,26,1
Hindi,729,3,65,12,4,47,4,3
Data Structures,2412,15,159,5,2,70,12,5
Cyber Security,560,9,130,11,6,81,22,1
Geography,1404,8,66,2,4,81,29,2
Pharmacology,777,13,370,10,9,78,7,10
Management Accounting,4177,10,349,1,1,90,19,6
Science,879,8,187,11,8,70,8,7
English,3557,6,123,2,9,82,25,10
Economics,1530,5,73,5,6,96,9,10
Geography,2171,6,249,4,1,89,24,1
DBMS,2270,2,246,6,10,100,25,11
Cyber Security,1289,10,63,3,7,97,24,6
Mathematics,4140,6,161,13,10,88,4,11
Chemistry,4752,11,402,10,10,72,29,4
Cyber Security,4650,6,435,9,5,86,19,6
Cost Accounting,2145,11,332,11,9,61,14,6
Corporate Finance,4027,15,222,10,9,34,18,5
Algorithms,3998,12,184,11,8,61,5,9
Pharmacology,2533,10,162,9,7,73,16,5
History,2920,7,432,3,7,32,18,10
Management Accounting,2699,8,384,1,1,48,9,9
Physics,4683,8,474,7,8,95,8,15
Cost Accounting,3098,11,118,1,4,69,28,4
Management Accounting,1017,9,79,2,10,92,6,17
Pharmacology,735,10,81,13,10,86,11,6
Data Structures,685,6,179,9,2,98,17,1
Chemistry,1414,9,424,1,6,84,12,13
Auditing,3020,2,213,6,2,67,6,9
Software Engineering,2193,4,59,1,1,70,20,3
Cyber Security,4275,13,371,7,9,31,20,7
Geography,1425,7,279,11,5,54,25,1
Data Structures,2412,14,88,2,8,87,29,6
Mathematics,4053,2,463,6,10,32,12,19
Algorithms,2081,6,88,8,3,96,15,3
Operating Systems,2504,11,247,1,4,99,7,13
Mathematics,3417,10,314,7,9,32,9,11
Cost Accounting,2337,4,276,2,8,48,12,14
Algorithms,4282,15,119,4,9,38,26,7
Chemistry,3891,9,350,7,5,59,13,7
Operating Systems,611,4,352,5,6,42,2,14
Anatomy,4929,8,480,7,6,34,19,6
Biology,3916,15,326,5,7,80,13,11
Hindi,4295,4,401,2,2,69,23,7
Operating Systems,3665,14,320,4,2,68,24,2
Social Studies,2332,4,174,5,6,89,30,3
Corporate Finance,1457,8,93,10,3,49,16,1
Operating Systems,1403,7,364,7,10,70,14,11
Data Structures,1792,13,239,13,9,76,3,9
Pathology,4207,3,401,7,5,67,12,11
Software Engineering,4597,10,182,5,6,52,6,12
Cyber Security,986,8,345,13,6,54,4,6
Operating Systems,957,12,151,4,3,85,25,1
Hindi,706,14,320,8,6,73,5,9
Mathematics,2289,11,138,2,1,86,22,2
Economics,3815,12,83,6,10,73,29,6
Microbiology,1966,14,136,14,7,86,11,3
Chemistry,1696,5,168,5,10,66,4,16
Computer Networks,2708,15,286,10,2,73,15,1
Mathematics,359,4,161,2,3,30,13,6
DBMS,3156,3,369,7,4,58,14,8
Microbiology,1809,13,385,7,2,59,21,1
Auditing,640,13,88,10,10,30,7,8
Software Engineering,394,8,287,7,5,85,26,1
Biology,2055,13,245,5,9,69,20,8
History,3114,14,65,13,10,58,5,9
English,2265,15,382,4,2,85,7,8
Financial Accounting,3092,3,212,1,6,39,16,12
Algorithms,1476,13,225,12,5,59,23,1
Science,966,6,291,6,10,71,8,14
Mathematics,1574,11,476,12,9,77,14,6
History,535,11,398,3,9,85,14,13
Auditing,1583,5,98,12,8,32,6,6
Cost Accounting,1973,2,366,11,4,75,3,11
Pharmacology,1842,10,72,13,5,40,14,1
Management Accounting,2774,10,41,2,1,73,23,1
Mathematics,796,5,122,6,2,49,26,1
Cyber Security,1270,14,367,10,1,89,11,1
Hindi,3441,1,464,11,6,97,10,17
Social Studies,4009,2,457,12,1,80,1,11
English,1367,10,40,11,8,59,15,3
Compiler Design,1823,12,350,3,5,78,15,9
Operating Systems,2823,12,186,4,5,72,10,10
Biochemistry,2582,13,226,8,5,96,30,1
English,4344,8,64,2,3,75,16,7
Anatomy,3619,14,33,2,7,64,21,8
Biology,2905,7,374,13,2,85,6,3
History,561,14,332,2,7,89,11,13
Hindi,4778,8,34,9,7,67,3,11
Corporate Finance,1550,1,125,2,9,79,29,10
Biochemistry,614,5,309,11,10,67,11,9
Physiology,1844,9,130,3,1,47,30,1
Financial Accounting,4823,8,348,8,3,92,6,9
DBMS,4019,8,216,4,5,53,20,6
Software Engineering,1957,8,369,10,2,56,9,3
Pathology,4731,14,283,6,3,93,13,7
Anatomy,2575,9,343,10,8,73,9,9
Operating Systems,2473,2,105,7,4,38,7,7
Management Accounting,3906,12,436,11,7,65,23,2
Mathematics,3721,6,210,3,7,85,29,6
Physics,2392,2,189,13,2,90,5,4
History,2974,11,331,6,9,88,24,8
Data Structures,4468,11,53,5,6,70,4,12
Biology,3232,14,411,2,6,88,20,10
Auditing,1585,8,457,8,3,60,24,1
Mathematics,2291,5,261,10,10,51,14,9
English,2137,12,416,2,10,41,3,19
Physiology,2243,12,431,13,5,92,17,1
Hindi,3696,4,186,10,5,72,8,7
Social Studies,1728,5,147,8,8,55,29,1
Computer Networks,4165,15,367,7,6,92,2,13
DBMS,1058,15,278,10,5,32,8,4
Economics,1863,13,271,9,9,68,26,3
Machine Learning,2649,15,359,5,3,76,14,6
Compiler Design,1167,14,235,5,7,47,5,11
Geography,4712,1,187,5,5,90,20,10
Data Structures,2902,3,470,3,3,97,25,8
Compiler Design,638,3,269,5,10,59,20,11
Economics,2902,4,213,3,3,86,13,9
Social Studies,2658,4,388,4,4,72,19,8
Cost Accounting,2044,4,286,6,9,87,25,8
Chemistry,1978,12,388,13,8,57,5,7
Computer Networks,3136,15,388,11,3,30,12,1
Science,1671,6,94,8,4,62,8,5
Cyber Security,2123,10,423,5,3,50,13,6
Chemistry,2909,7,206,7,9,65,8,12
Pharmacology,3949,3,52,10,2,56,4,4
English,796,15,71,5,7,90,30,2
Auditing,2949,12,223,2,7,99,19,11
Pharmacology,4367,14,202,13,8,72,1,10
Geography,911,6,157,14,10,37,11,5
History,462,7,142,3,2,67,4,9
Mathematics,4799,1,320,13,5,47,12,9
Compiler Design,4413,7,378,3,5,55,0,16
Cyber Security,2559,7,370,6,4,91,8,10
Financial Accounting,3834,4,214,8,2,57,17,2
Hindi,2425,9,433,12,9,58,0,12
Artificial Intelligence,1876,1,242,7,4,91,4,14
Microbiology,1522,3,345,12,5,67,7,7
History,388,9,203,12,8,72,12,4
Hindi,1688,9,111,4,3,78,14,5
Management Accounting,2010,1,339,12,10,43,15,13
Corporate Finance,2048,2,266,4,8,35,6,16
Anatomy,2151,15,446,2,1,97,12,7
Social Studies,4054,7,305,3,1,78,25,2
DBMS,306,9,195,14,6,97,8,3
Data Structures,3557,12,283,9,5,33,27,1
Pathology,4615,13,423,9,2,46,22,1
Biology,3147,8,391,3,5,99,27,6
Mathematics,2388,1,109,8,10,48,6,14
DBMS,4003,12,342,6,7,98,28,5
Anatomy,4647,11,124,4,6,93,10,12
History,4461,9,332,12,6,52,19,2
Cyber Security,3805,7,340,13,2,41,3,3
Cyber Security,1615,15,180,13,4,63,30,1
Artificial Intelligence,4532,9,141,14,5,92,28,1
Biology,1286,5,92,2,5,80,3,14
Social Studies,2235,14,458,2,5,30,13,9
English,735,6,342,14,1,96,9,1
Software Engineering,1856,11,357,11,4,57,20,1
Financial Accounting,868,15,258,11,7,52,25,1
Compiler Design,4295,9,445,13,10,52,11,9
Operating Systems,4611,1,157,8,1,62,28,1
Data Structures,1782,8,232,11,1,71,30,1
Pathology,1057,12,206,7,9,68,26,4
Physics,2965,10,445,11,9,100,20,6
Anatomy,671,11,271,6,4,77,13,5
Biology,1714,8,89,11,4,55,30,1
Social Studies,1998,1,113,4,3,33,5,10
Physics,2949,12,87,2,2,40,17,4
Microbiology,357,2,283,1,6,77,27,9
Physiology,1493,14,302,2,7,57,16,10
Pathology,1554,9,431,14,3,100,24,1
Anatomy,1424,6,439,8,5,89,14,7
Geography,1484,14,265,12,3,87,25,1
Data Structures,1845,8,57,10,10,39,7,9
Pathology,1563,6,357,11,10,38,4,12
English,2540,1,381,14,7,91,3,16
Anatomy,807,1,155,4,3,79,25,4
Financial Accounting,2556,13,63,9,4,90,5,7
Anatomy,2289,1,304,3,8,39,12,18
Chemistry,3936,4,366,11,1,95,30,1
Artificial Intelligence,2785,15,416,12,6,73,9,5
Pathology,3776,15,278,10,7,34,20,2
Cyber Security,2365,2,38,14,2,35,25,1
DBMS,2944,4,367,12,8,68,17,6
Microbiology,396,5,139,3,8,60,11,12
Social Studies,3539,7,219,9,8,42,18,5
Science,1809,9,391,1,3,98,17,9
Cyber Security,3406,13,316,1,3,67,11,10
English,946,15,169,14,1,41,2,1
Mathematics,3558,10,374,3,1,38,10,7
English,4034,9,341,5,1,92,14,5
Financial Accounting,1393,11,456,12,10,42,11,7
Pharmacology,4293,10,462,5,10,68,20,12
Hindi,4316,3,329,13,1,77,11,2
Biochemistry,1997,7,133,10,1,43,19,1
Machine Learning,3205,7,58,10,4,53,3,6
Microbiology,4137,15,212,12,1,84,6,2
Data Structures,2146,7,99,14,6,68,9,2
Algorithms,843,15,313,1,6,33,23,6
Pathology,3169,6,423,13,6,34,7,6
Biochemistry,4163,6,113,11,6,40,26,1
Social Studies,316,10,217,8,6,91,28,1
Financial Accounting,2359,9,276,14,7,89,0,9
DBMS,4955,9,359,14,8,100,20,4
Mathematics,565,7,283,1,9,70,23,11
History,918,2,202,13,3,30,19,1
English,2438,2,82,5,8,98,2,16
Microbiology,3250,1,357,1,4,42,26,12
Hindi,2711,6,376,6,5,37,10,9
Corporate Finance,1937,3,448,5,8,61,5,18
History,3922,1,278,14,9,52,20,8
Geography,3955,7,37,6,6,85,6,11
Corporate Finance,1429,9,443,14,5,46,25,1
DBMS,3198,5,107,12,7,51,20,1
Artificial Intelligence,324,14,334,3,10,58,21,10
Algorithms,4836,1,421,5,9,87,21,20
Pharmacology,4274,10,101,5,1,55,17,2
Mathematics,1707,12,382,8,9,34,12,9
Mathematics,4956,4,245,7,2,42,6,8
Mathematics,4897,7,189,3,7,32,1,16
Physics,2430,10,472,2,10,58,9,17
Cyber Security,369,12,73,6,2,72,2,7
Cyber Security,345,12,210,9,9,46,21,3
Operating Systems,4872,13,90,4,1,37,25,1
Pharmacology,4988,10,401,6,4,70,8,10
English,2310,14,195,13,2,64,22,1
Artificial Intelligence,3860,9,343,11,3,91,23,1
DBMS,682,1,38,4,4,45,2,10
Data Structures,942,13,253,1,4,33,24,3
Mathematics,1691,14,429,4,7,73,19,8
History,2865,10,107,14,10,74,0,10
Operating Systems,2452,2,380,3,10,33,11,19
Physics,1288,12,216,8,2,43,15,1
Mathematics,1217,4,413,12,1,67,28,1
Physiology,2084,8,128,8,3,32,27,1
Biology,1112,6,234,9,10,96,23,6
Pharmacology,2847,5,410,5,10,67,17,14
Microbiology,2277,4,275,13,10,78,24,4
Anatomy,3935,6,276,10,5,33,10,5
Cost Accounting,1398,9,381,6,4,31,24,1
Chemistry,889,6,376,1,6,42,24,7
Algorithms,2197,6,253,4,1,33,8,6
Biology,1996,15,273,14,3,66,20,1
Software Engineering,1293,12,407,11,8,60,27,1
Microbiology,4594,3,106,8,4,71,12,6
Pharmacology,3831,8,193,8,3,88,29,1
Science,1846,1,324,2,1,69,12,13
Corporate Finance,1272,1,96,10,3,33,2,6
English,4952,5,179,1,7,84,19,13
Mathematics,1686,3,105,14,9,55,1,9
Hindi,2487,14,180,8,7,59,28,1
Anatomy,3713,13,446,5,4,62,7,10
Mathematics,2936,11,88,4,10,39,15,11
Computer Networks,495,10,393,12,8,85,3,9
Chemistry,2892,1,465,6,3,47,30,8
English,3064,5,48,7,3,93,14,4
Software Engineering,2625,4,437,5,3,68,11,10
Compiler Design,2604,10,270,6,2,76,3,8
Computer Networks,1584,4,99,2,10,71,20,12
Management Accounting,2748,6,404,6,3,73,7,9
English,1850,14,32,14,10,71,22,1
Mathematics,4854,12,153,7,2,32,16,1
Science,3499,1,372,7,4,71,18,12
English,4858,1,32,12,6,84,19,2
Economics,1670,14,390,9,4,87,23,1
Pharmacology,3243,10,472,3,1,93,8,9
Cyber Security,1326,12,300,11,2,33,0,4
Cyber Security,3361,7,273,8,4,53,12,5
Mathematics,1370,7,193,14,8,82,10,5
Financial Accounting,4057,9,390,2,3,75,5,13
Computer Networks,4119,2,246,10,8,50,18,8
Mathematics,2242,1,189,9,4,74,6,10
Auditing,2185,9,153,9,7,30,17,3
Operating Systems,458,7,172,7,4,76,21,1
Machine Learning,4917,4,467,10,1,45,25,1
Chemistry,3275,10,380,12,3,76,16,1
Artificial Intelligence,4583,11,478,3,7,91,17,12
Physiology,3231,11,156,10,3,30,24,1
Anatomy,490,6,429,9,4,70,29,1
Geography,2298,14,87,2,2,70,15,5
Mathematics,2324,13,214,3,1,64,8,7
Anatomy,4049,7,272,4,5,92,10,12
Economics,2699,11,320,9,1,89,4,5
English,3921,15,78,10,1,87,7,3
Hindi,664,1,411,5,7,56,14,17
Machine Learning,3901,2,265,6,7,56,14,12
Financial Accounting,3752,12,151,4,10,64,25,9
Corporate Finance,837,15,260,10,10,56,21,4
Science,1799,10,296,5,8,83,13,11
Artificial Intelligence,540,7,421,1,7,91,5,17
Software Engineering,3060,4,91,12,6,58,6,6
Mathematics,4493,5,309,9,1,64,22,1
Management Accounting,4674,13,303,7,7,33,17,7
Corporate Finance,1338,3,121,4,4,83,28,2
Microbiology,3803,4,465,14,6,96,24,2
Artificial Intelligence,2906,11,460,3,2,81,10,9
Hindi,950,15,384,14,9,61,30,1
Mathematics,1257,6,262,9,3,74,8,5
English,1453,5,32,1,2,86,14,7
Anatomy,4484,12,422,3,5,57,1,15
Pharmacology,995,14,447,8,8,58,4,11
Social Studies,4899,1,131,14,1,54,15,1
English,1514,12,397,6,9,68,4,14
Compiler Design,3555,9,150,9,5,57,25,1
Mathematics,1572,3,300,6,5,81,13,9
Operating Systems,4263,5,173,8,9,57,0,15
Biochemistry,1897,13,379,11,5,39,8,4
Artificial Intelligence,1111,4,395,1,10,35,20,14
Auditing,1753,2,297,9,8,41,13,10
History,3186,11,352,12,8,77,0,11
Chemistry,4176,13,271,12,10,36,3,11
Social Studies,4057,7,292,7,5,73,29,1
Economics,4291,8,40,14,6,91,22,1
Pathology,4435,8,290,13,1,35,20,1
Physics,1733,13,38,8,9,32,0,12
Pharmacology,3412,9,82,7,2,70,1,8
Machine Learning,3429,2,106,3,5,54,9,12
Cyber Security,2226,5,45,11,2,85,3,4
Computer Networks,4777,1,442,1,8,95,12,26
Chemistry,2240,11,124,4,4,78,16,6
Artificial Intelligence,2861,1,258,13,6,50,30,1
Machine Learning,3889,3,74,8,3,42,24,1
History,2443,12,311,6,2,43,16,2
Social Studies,1385,7,383,7,8,73,3,14
Operating Systems,1571,15,407,8,3,41,26,1
Biology,1765,6,178,8,9,92,25,5
Financial Accounting,4137,13,67,2,7,83,6,15
Operating Systems,4560,15,261,1,6,81,30,6
Pathology,4787,2,477,12,2,83,28,2
Machine Learning,2256,4,218,12,2,65,4,4
Biology,2996,2,310,12,9,75,4,14
Data Structures,919,6,146,3,9,78,28,7
Mathematics,2737,14,374,3,4,97,5,13
Compiler Design,4480,11,342,3,8,68,24,9
English,308,14,408,8,1,63,16,1
Management Accounting,1871,12,235,10,7,70,28,1
Financial Accounting,680,15,85,8,10,58,2,13
Algorithms,1465,8,67,1,10,40,8,16
Physics,4356,13,41,8,10,84,25,6
Algorithms,2191,15,185,3,3,88,17,6
Compiler Design,2486,1,56,4,9,45,20,9
Data Structures,4001,13,360,4,9,65,24,9
Mathematics,3383,10,309,9,4,63,12,4
Cyber Security,1521,2,144,9,2,70,6,5
Biochemistry,2130,11,104,3,5,46,14,7
Artificial Intelligence,768,11,477,8,1,60,0,6
Science,4346,13,409,8,7,90,21,6
Pathology,1684,2,33,8,8,84,23,4
Biology,1765,7,363,13,4,37,12,1
Physics,4177,6,327,8,6,43,24,3
Data Structures,3227,10,458,11,2,62,17,1
Geography,580,8,192,2,8,93,5,16
Mathematics,1737,13,80,8,8,41,3,10
Corporate Finance,4746,2,230,8,2,99,4,11
Chemistry,3593,1,202,14,7,37,9,8
Microbiology,3486,1,154,13,10,70,25,5
English,863,2,297,12,1,68,0,6
Auditing,4081,12,102,14,7,61,27,1
Mathematics,2852,13,377,2,10,47,21,12
Compiler Design,3770,3,112,3,2,35,18,4
Management Accounting,1869,9,400,8,3,71,4,8
Cyber Security,3241,6,242,4,10,69,9,16
Cyber Security,3983,4,324,8,6,79,21,6
Mathematics,2885,6,418,2,4,48,3,15
Algorithms,3472,11,228,11,3,47,6,3
Geography,3026,8,448,5,2,61,21,3
Auditing,4919,14,397,4,4,87,7,12
Social Studies,1821,12,144,13,3,52,3,2
Algorithms,2955,11,311,12,4,31,10,2
Biology,1605,9,477,4,5,35,21,5
Economics,3666,1,285,6,5,93,17,13
Pharmacology,3170,1,101,2,3,80,8,12
Software Engineering,1929,12,421,7,3,41,5,7
Auditing,1082,11,89,11,8,72,6,7
Science,754,6,237,12,2,44,3,2
Science,365,8,200,1,4,37,18,6
Financial Accounting,4663,6,434,5,6,60,5,15
Data Structures,2451,8,328,5,4,38,13,6
Management Accounting,3617,14,182,13,7,96,18,2
Science,2724,4,358,3,7,84,15,14
Auditing,4248,2,324,3,4,62,25,8
Compiler Design,2184,11,423,11,8,52,12,6
Pathology,1893,5,391,8,6,97,26,4
Machine Learning,1176,3,255,10,7,89,18,6
Pathology,4536,14,145,4,5,56,24,4
Data Structures,696,14,381,12,10,46,21,2
Computer Networks,4325,2,394,4,8,85,1,23
Biochemistry,568,12,300,10,10,53,2,12
Physiology,1854,1,148,6,8,83,8,15
Physiology,2764,1,461,3,7,53,23,17
Corporate Finance,4412,10,161,8,10,76,22,8
Pathology,4528,11,215,6,7,43,7,11
Biochemistry,3889,2,426,7,2,90,23,6
History,1983,2,346,9,1,95,20,3
Hindi,1069,4,157,8,4,73,25,1
Financial Accounting,1306,9,235,4,5,35,11,8
English,387,13,274,6,3,42,25,1
Auditing,2531,4,47,4,4,49,13,6
Hindi,3110,8,470,9,1,59,21,1
Geography,2398,1,141,10,7,35,2,11
Artificial Intelligence,4531,15,120,13,10,87,1,12
Cost Accounting,3331,3,391,3,10,77,24,14
Anatomy,3716,8,337,12,6,98,6,8
DBMS,902,8,198,7,7,61,12,7
Financial Accounting,1601,5,447,13,3,38,4,4
Microbiology,2515,15,365,8,1,55,3,5
Auditing,824,4,429,1,3,43,24,6
Biology,2868,2,231,7,5,47,27,3
Anatomy,2842,2,256,12,6,50,12,6
Microbiology,3783,1,97,2,8,95,24,11
Financial Accounting,1878,11,413,10,1,37,9,1
English,356,15,415,7,4,82,7,7
Physics,4020,13,338,9,9,55,28,3
Social Studies,4957,7,460,10,4,35,25,1
DBMS,3112,7,310,12,3,87,29,1
Cost Accounting,4391,12,454,9,2,85,27,1
Hindi,1392,6,377,12,2,33,18,1
Biology,4659,2,176,14,6,65,8,6
Microbiology,1028,14,302,10,7,76,22,2
Microbiology,4830,9,264,2,10,58,0,21
Pharmacology,2863,4,167,12,3,60,26,1
Economics,3330,6,402,10,1,94,5,6
Operating Systems,4686,7,374,1,7,34,30,7
Science,1597,9,168,2,6,87,15,10
Geography,322,7,426,6,7,67,17,8
Anatomy,4252,10,80,2,5,31,23,5
English,2243,14,323,14,2,35,22,1
Biology,3074,14,213,12,2,70,17,1
Corporate Finance,1877,3,462,10,1,66,5,7
Software Engineering,2702,7,35,5,2,30,21,1
Pathology,744,3,398,1,8,81,5,20
Pharmacology,1395,6,426,1,4,92,21,9
Financial Accounting,3346,5,136,13,3,96,2,5
Machine Learning,2806,8,339,1,7,94,6,17
Mathematics,1841,14,48,14,3,47,23,1
Social Studies,2825,4,417,1,9,66,7,20
Mathematics,4911,7,57,13,6,67,28,1
